date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:37:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2023%20Aug%202023%2011:37:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/www.googletagmanager.com/gtm.c5445.delayed	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:12	282415/282415	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:13%20GMT	https://thepleasurechest.com/special-collections/pet-play	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/special-collections/pet-play.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:13	169068/169068	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:14%20GMT	https://thepleasurechest.com/events	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/events.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:13	192844/192844	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:14%20GMT	https://thepleasurechest.com/blog/	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/blog/index.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:13	170688/170688	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:14%20GMT	https://thepleasurechest.com/locations/	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/locations/index.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:14	242756/242756	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:15%20GMT	https://thepleasurechest.com/special-collections	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/special-collections.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:15	167927/167927	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:15%20GMT	https://thepleasurechest.com/about-us	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/about-us.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:15	163499/163499	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:16%20GMT	https://thepleasurechest.com/login.php	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/login.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:16	188308/188308	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:16%20GMT	https://thepleasurechest.com/login.php?action=create_account	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/logind85d.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:16	163980/163980	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:17%20GMT	https://thepleasurechest.com/cart.php	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/cart.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:17	307340/307340	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:18%20GMT	https://thepleasurechest.com/vibrators	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:18	299695/299695	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:19%20GMT	https://thepleasurechest.com/vibrators/most-popular-vibrators	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/most-popular-vibrators.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:19	289302/289302	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:20%20GMT	https://thepleasurechest.com/vibrators/air-suction-sex-toys	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/air-suction-sex-toys.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:20	291551/291551	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:21%20GMT	https://thepleasurechest.com/vibrators/wand-massagers	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/wand-massagers.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:21	299872/299872	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:22%20GMT	https://thepleasurechest.com/vibrators/couples-vibrators	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/couples-vibrators.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:22	293261/293261	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:22%20GMT	https://thepleasurechest.com/vibrators/g-spot	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/g-spot.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:22	298186/298186	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:23%20GMT	https://thepleasurechest.com/vibrators/clitoral-vibrators	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/clitoral-vibrators.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:23	297121/297121	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:24%20GMT	https://thepleasurechest.com/vibrators/dual-action	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/dual-action.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:24	293751/293751	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:24%20GMT	https://thepleasurechest.com/vibrators/discreet	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/discreet.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:24	296871/296871	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:25%20GMT	https://thepleasurechest.com/vibrators/luxury-vibrators	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/luxury-vibrators.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:25	288221/288221	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:26%20GMT	https://thepleasurechest.com/vibrators/slim-vibrators	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/slim-vibrators.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:26	293210/293210	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:27%20GMT	https://thepleasurechest.com/vibrators/anal-vibrators	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/anal-vibrators.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:27	286097/286097	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:28%20GMT	https://thepleasurechest.com/vibrators/sex-toy-accessories	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/vibrators/sex-toy-accessories.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:27	239538/239538	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:28%20GMT	https://thepleasurechest.com/femme-funn-ultra-bullet-vibe	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/femme-funn-ultra-bullet-vibe.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:28	10298/10298	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202023%2001:03:44%20GMT	https://cdn11.bigcommerce.com/s-yei6p8b4nx/images/stencil/300x300/products/2069/4465/femme-fun-bullet-2__62891.1677805367.jpg?c=2	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/cdn11.bigcommerce.com/s-yei6p8b4nx/images/stencil/300x300/products/2069/4465/femme-fun-bullet-2__628914847.jpg	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:28	8037/8037	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Aug%202023%2001:07:44%20GMT	https://cdn11.bigcommerce.com/s-yei6p8b4nx/images/stencil/300x300/products/1949/5650/je-joue-mimi-soft-black-vibrators-clitoral-3__23585.1690852009.jpg?c=2	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/cdn11.bigcommerce.com/s-yei6p8b4nx/images/stencil/300x300/products/1949/5650/je-joue-mimi-soft-black-vibrators-clitoral-3__235854847.jpg	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:28	247220/247220	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:29%20GMT	https://thepleasurechest.com/je-joue-mimi-soft-vibrator	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/je-joue-mimi-soft-vibrator.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:29	302392/302392	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:30%20GMT	https://thepleasurechest.com/dildos	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/dildos.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:31	294136/294136	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:31%20GMT	https://thepleasurechest.com/dildos/most-popular-dildos	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/dildos/most-popular-dildos.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:32	297836/297836	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:33%20GMT	https://thepleasurechest.com/dildos/strap-on-dildos	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/dildos/strap-on-dildos.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:33	293818/293818	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:34%20GMT	https://thepleasurechest.com/dildos/vibrating-dildos	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/dildos/vibrating-dildos.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:33	294962/294962	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:34%20GMT	https://thepleasurechest.com/dildos/g-spot-and-prostate	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/dildos/g-spot-and-prostate.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:34	291551/291551	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:35%20GMT	https://thepleasurechest.com/dildos/double-dildos	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/dildos/double-dildos.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:35	292612/292612	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:36%20GMT	https://thepleasurechest.com/special-collections/size-queen-sex-toys	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/special-collections/size-queen-sex-toys.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:35	241495/241495	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:36%20GMT	https://thepleasurechest.com/fun-factory-limba-flex	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/fun-factory-limba-flex.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:35	8488/8488	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Jun%202023%2017:29:53%20GMT	https://cdn11.bigcommerce.com/s-yei6p8b4nx/images/stencil/300x300/products/2224/7013/Fun_Factory_Limba_Flex_sizes__15346.1659316958.jpg?c=2	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/cdn11.bigcommerce.com/s-yei6p8b4nx/images/stencil/300x300/products/2224/7013/Fun_Factory_Limba_Flex_sizes__153464847.jpg	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:36	242580/242580	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:37%20GMT	https://thepleasurechest.com/shilo-dildo	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/shilo-dildo.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:36	7737/7737	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202022%2020:23:26%20GMT	https://cdn11.bigcommerce.com/s-yei6p8b4nx/images/stencil/300x300/products/1972/4227/shilo-dildo-dildos-strap-on-dildos-1_2__78874.1655936921.jpg?c=2	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/cdn11.bigcommerce.com/s-yei6p8b4nx/images/stencil/300x300/products/1972/4227/shilo-dildo-dildos-strap-on-dildos-1_2__788744847.jpg	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:37	224293/224293	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:38%20GMT	https://thepleasurechest.com/tantus-silk-small-dildo	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/tantus-silk-small-dildo.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:37	7756/7756	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Jun%202023%2010:02:23%20GMT	https://cdn11.bigcommerce.com/s-yei6p8b4nx/images/stencil/300x300/products/1713/1725/silk-purple-small-dildos-strap-on-dildos-tantus-2_1__10372.1664915373.jpg?c=2	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/cdn11.bigcommerce.com/s-yei6p8b4nx/images/stencil/300x300/products/1713/1725/silk-purple-small-dildos-strap-on-dildos-tantus-2_1__103724847.jpg	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:38	293970/293970	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:38%20GMT	https://thepleasurechest.com/strap-ons	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/strap-ons.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:38	258049/258049	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:39%20GMT	https://thepleasurechest.com/strap-ons/most-popular-strap-ons	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/strap-ons/most-popular-strap-ons.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:39	290334/290334	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:40%20GMT	https://thepleasurechest.com/strap-ons/strap-on-harnesses	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/strap-ons/strap-on-harnesses.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
04:37:40	224334/224334	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2011:37:41%20GMT	https://thepleasurechest.com/strap-ons/strap-ons-for-men	C:/Users/DrugcheckAI/Desktop/Adult/Adult%20Store%201/thepleasurechest.com/strap-ons/strap-ons-for-men.html	(from https://thepleasurechest.com/?gad=1&gclid=EAIaIQobChMIhrHhudfygAMVji2tBh29fgdtEAAYASAAEgKhWfD_BwE)
